asset_id,ticker,note_type,note,source_phase,phase
U00597,CGEN,POSITIVE_DRIVER,positive revenue growth,v2.38K,v2.38L-us-explained-shortlist
U00597,CGEN,POSITIVE_DRIVER,positive profitability/FCF signal,v2.38K,v2.38L-us-explained-shortlist
U00597,CGEN,POSITIVE_DRIVER,positive price trend,v2.38K,v2.38L-us-explained-shortlist
U00597,CGEN,POSITIVE_DRIVER,positive 12m momentum,v2.38K,v2.38L-us-explained-shortlist
U00597,CGEN,RISK_DRIVER,large 12m drawdown,v2.38K,v2.38L-us-explained-shortlist
U00597,CGEN,RISK_DRIVER,high 6m volatility,v2.38K,v2.38L-us-explained-shortlist
U00597,CGEN,EVIDENCE_LIMITATION,Shortlist uses local 38J/38K evidence only; no external news or macro/geopolitical data is added in 38L.,v2.38L,v2.38L-us-explained-shortlist
U00597,CGEN,NEXT_RESEARCH_STEP,Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,v2.38L,v2.38L-us-explained-shortlist
U00597,CGEN,LANGUAGE_GUARDRAIL,Research prioritization only; not a final investment action signal.,v2.38L,v2.38L-us-explained-shortlist
U00489,BWFG,POSITIVE_DRIVER,positive revenue growth,v2.38K,v2.38L-us-explained-shortlist
U00489,BWFG,POSITIVE_DRIVER,positive profitability/FCF signal,v2.38K,v2.38L-us-explained-shortlist
U00489,BWFG,POSITIVE_DRIVER,positive price trend,v2.38K,v2.38L-us-explained-shortlist
U00489,BWFG,POSITIVE_DRIVER,positive 12m momentum,v2.38K,v2.38L-us-explained-shortlist
U00489,BWFG,RISK_DRIVER,balance-sheet risk flag,v2.38K,v2.38L-us-explained-shortlist
U00489,BWFG,EVIDENCE_LIMITATION,Shortlist uses local 38J/38K evidence only; no external news or macro/geopolitical data is added in 38L.,v2.38L,v2.38L-us-explained-shortlist
U00489,BWFG,NEXT_RESEARCH_STEP,Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,v2.38L,v2.38L-us-explained-shortlist
U00489,BWFG,LANGUAGE_GUARDRAIL,Research prioritization only; not a final investment action signal.,v2.38L,v2.38L-us-explained-shortlist
U00040,ACNB,POSITIVE_DRIVER,positive revenue growth,v2.38K,v2.38L-us-explained-shortlist
U00040,ACNB,POSITIVE_DRIVER,positive profitability/FCF signal,v2.38K,v2.38L-us-explained-shortlist
U00040,ACNB,POSITIVE_DRIVER,positive price trend,v2.38K,v2.38L-us-explained-shortlist
U00040,ACNB,POSITIVE_DRIVER,positive 12m momentum,v2.38K,v2.38L-us-explained-shortlist
U00040,ACNB,RISK_DRIVER,balance-sheet risk flag,v2.38K,v2.38L-us-explained-shortlist
U00040,ACNB,EVIDENCE_LIMITATION,Shortlist uses local 38J/38K evidence only; no external news or macro/geopolitical data is added in 38L.,v2.38L,v2.38L-us-explained-shortlist
U00040,ACNB,NEXT_RESEARCH_STEP,Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,v2.38L,v2.38L-us-explained-shortlist
U00040,ACNB,LANGUAGE_GUARDRAIL,Research prioritization only; not a final investment action signal.,v2.38L,v2.38L-us-explained-shortlist
U00126,ALAB,POSITIVE_DRIVER,positive revenue growth,v2.38K,v2.38L-us-explained-shortlist
U00126,ALAB,POSITIVE_DRIVER,positive profitability/FCF signal,v2.38K,v2.38L-us-explained-shortlist
U00126,ALAB,POSITIVE_DRIVER,positive 12m momentum,v2.38K,v2.38L-us-explained-shortlist
U00126,ALAB,RISK_DRIVER,large 12m drawdown,v2.38K,v2.38L-us-explained-shortlist
U00126,ALAB,RISK_DRIVER,high 6m volatility,v2.38K,v2.38L-us-explained-shortlist
U00126,ALAB,RISK_DRIVER,risk/liquidity component below 55,v2.38K,v2.38L-us-explained-shortlist
U00126,ALAB,EVIDENCE_LIMITATION,Shortlist uses local 38J/38K evidence only; no external news or macro/geopolitical data is added in 38L.,v2.38L,v2.38L-us-explained-shortlist
U00126,ALAB,NEXT_RESEARCH_STEP,Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,v2.38L,v2.38L-us-explained-shortlist
U00126,ALAB,LANGUAGE_GUARDRAIL,Research prioritization only; not a final investment action signal.,v2.38L,v2.38L-us-explained-shortlist
U00276,ATEX,POSITIVE_DRIVER,positive revenue growth,v2.38K,v2.38L-us-explained-shortlist
U00276,ATEX,POSITIVE_DRIVER,positive profitability/FCF signal,v2.38K,v2.38L-us-explained-shortlist
U00276,ATEX,POSITIVE_DRIVER,positive 12m momentum,v2.38K,v2.38L-us-explained-shortlist
U00276,ATEX,RISK_DRIVER,high 6m volatility,v2.38K,v2.38L-us-explained-shortlist
U00276,ATEX,EVIDENCE_LIMITATION,Shortlist uses local 38J/38K evidence only; no external news or macro/geopolitical data is added in 38L.,v2.38L,v2.38L-us-explained-shortlist
U00276,ATEX,NEXT_RESEARCH_STEP,Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,v2.38L,v2.38L-us-explained-shortlist
U00276,ATEX,LANGUAGE_GUARDRAIL,Research prioritization only; not a final investment action signal.,v2.38L,v2.38L-us-explained-shortlist
U00503,CAC,POSITIVE_DRIVER,positive revenue growth,v2.38K,v2.38L-us-explained-shortlist
U00503,CAC,POSITIVE_DRIVER,positive profitability/FCF signal,v2.38K,v2.38L-us-explained-shortlist
U00503,CAC,POSITIVE_DRIVER,positive price trend,v2.38K,v2.38L-us-explained-shortlist
U00503,CAC,POSITIVE_DRIVER,positive 12m momentum,v2.38K,v2.38L-us-explained-shortlist
U00503,CAC,RISK_DRIVER,balance-sheet risk flag,v2.38K,v2.38L-us-explained-shortlist
U00503,CAC,EVIDENCE_LIMITATION,Shortlist uses local 38J/38K evidence only; no external news or macro/geopolitical data is added in 38L.,v2.38L,v2.38L-us-explained-shortlist
U00503,CAC,NEXT_RESEARCH_STEP,Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,v2.38L,v2.38L-us-explained-shortlist
U00503,CAC,LANGUAGE_GUARDRAIL,Research prioritization only; not a final investment action signal.,v2.38L,v2.38L-us-explained-shortlist
U00025,ACAD,POSITIVE_DRIVER,positive revenue growth,v2.38K,v2.38L-us-explained-shortlist
U00025,ACAD,POSITIVE_DRIVER,positive profitability/FCF signal,v2.38K,v2.38L-us-explained-shortlist
U00025,ACAD,POSITIVE_DRIVER,positive price trend,v2.38K,v2.38L-us-explained-shortlist
U00025,ACAD,POSITIVE_DRIVER,positive 12m momentum,v2.38K,v2.38L-us-explained-shortlist
U00025,ACAD,RISK_DRIVER,no dominant risk flag in tracked fields,v2.38K,v2.38L-us-explained-shortlist
U00025,ACAD,EVIDENCE_LIMITATION,Shortlist uses local 38J/38K evidence only; no external news or macro/geopolitical data is added in 38L.,v2.38L,v2.38L-us-explained-shortlist
U00025,ACAD,NEXT_RESEARCH_STEP,Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,v2.38L,v2.38L-us-explained-shortlist
U00025,ACAD,LANGUAGE_GUARDRAIL,Research prioritization only; not a final investment action signal.,v2.38L,v2.38L-us-explained-shortlist
U00482,BUSE,POSITIVE_DRIVER,positive revenue growth,v2.38K,v2.38L-us-explained-shortlist
U00482,BUSE,POSITIVE_DRIVER,positive profitability/FCF signal,v2.38K,v2.38L-us-explained-shortlist
U00482,BUSE,POSITIVE_DRIVER,positive 12m momentum,v2.38K,v2.38L-us-explained-shortlist
U00482,BUSE,RISK_DRIVER,balance-sheet risk flag,v2.38K,v2.38L-us-explained-shortlist
U00482,BUSE,EVIDENCE_LIMITATION,Shortlist uses local 38J/38K evidence only; no external news or macro/geopolitical data is added in 38L.,v2.38L,v2.38L-us-explained-shortlist
U00482,BUSE,NEXT_RESEARCH_STEP,Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,v2.38L,v2.38L-us-explained-shortlist
U00482,BUSE,LANGUAGE_GUARDRAIL,Research prioritization only; not a final investment action signal.,v2.38L,v2.38L-us-explained-shortlist
U00522,CART,POSITIVE_DRIVER,positive revenue growth,v2.38K,v2.38L-us-explained-shortlist
U00522,CART,POSITIVE_DRIVER,positive profitability/FCF signal,v2.38K,v2.38L-us-explained-shortlist
U00522,CART,POSITIVE_DRIVER,positive price trend,v2.38K,v2.38L-us-explained-shortlist
U00522,CART,POSITIVE_DRIVER,positive 12m momentum,v2.38K,v2.38L-us-explained-shortlist
U00522,CART,RISK_DRIVER,no dominant risk flag in tracked fields,v2.38K,v2.38L-us-explained-shortlist
U00522,CART,EVIDENCE_LIMITATION,Shortlist uses local 38J/38K evidence only; no external news or macro/geopolitical data is added in 38L.,v2.38L,v2.38L-us-explained-shortlist
U00522,CART,NEXT_RESEARCH_STEP,Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,v2.38L,v2.38L-us-explained-shortlist
U00522,CART,LANGUAGE_GUARDRAIL,Research prioritization only; not a final investment action signal.,v2.38L,v2.38L-us-explained-shortlist
U00425,BMRN,POSITIVE_DRIVER,positive revenue growth,v2.38K,v2.38L-us-explained-shortlist
U00425,BMRN,POSITIVE_DRIVER,positive profitability/FCF signal,v2.38K,v2.38L-us-explained-shortlist
U00425,BMRN,POSITIVE_DRIVER,positive price trend,v2.38K,v2.38L-us-explained-shortlist
U00425,BMRN,POSITIVE_DRIVER,positive 12m momentum,v2.38K,v2.38L-us-explained-shortlist
U00425,BMRN,RISK_DRIVER,no dominant risk flag in tracked fields,v2.38K,v2.38L-us-explained-shortlist
U00425,BMRN,EVIDENCE_LIMITATION,Shortlist uses local 38J/38K evidence only; no external news or macro/geopolitical data is added in 38L.,v2.38L,v2.38L-us-explained-shortlist
