gap_id,area,description,current_evidence,affected_population,impact,effort,risk,priority,decision,recommended_next_phase,closure_condition
GAP-LUX-ADAPTER,Luxembourg,Luxembourg remains without a real ratios/growth adapter for scoring.,26 rows are still NOT_YET_SCORED_NO_ADAPTER in v2.38BV.,26,medium,bounded,low,1,ATTACK_NEXT,v2.41B-luxembourg-adapter-or-closure,"Build a tiny real adapter if evidence exists, otherwise close Luxembourg as documented limitation."
GAP-UK-OFFICIAL-ACCESS,United Kingdom,Official access remains constrained for some filing/document paths.,Prior phases document NSM/official access constraints and manual review needs.,bounded_manual_subset,medium,medium,medium,3,REQUIRES_USER_DECISION,v2.41C-uk-cboe-manual-review-decision,User chooses between credential/manual route or documented closure.
GAP-CBOE-EUROPE,Cboe Europe,Cboe Europe identity/fundamentals/prices remain structurally problematic or blocked.,Roadmap and risk register keep Cboe Europe as a known structural limitation.,large_european_scope,high,high,high,6,BLOCKED_STRUCTURAL,v2.41C-uk-cboe-manual-review-decision,Close as structural unless an approved source or paid/user-action route is chosen.
GAP-EUROPE-PRICES,Europe prices,No viable free automated source for European historical prices has been confirmed.,v2.38AJ confirmed five negative source checks and 0/689 real European price coverage.,689,high,high,high,7,BLOCKED_STRUCTURAL,v2.41D-final-coverage-limitations,Keep documented unless a user-approved paid provider/source exception is introduced.
GAP-MANUAL-REVIEWS,Manual reviews,Rows requiring manual review remain separated from the main ranking.,124 rows are REVIEW_REQUIRED in v2.38BV.,124,medium,medium,medium,4,DEFER_POST_RELEASE,v2.41C-uk-cboe-manual-review-decision,Manual review procedure exists or the population remains explicitly out of ranking.
GAP-FINANCIAL-INSTITUTIONS,Financial institutions,Banks and insurers require a separate factor contract instead of industrial ratios.,v2.38BV separates financial institutions into REVIEW_REQUIRED where applicable.,subset_of_review_required,medium,high,high,5,REQUIRES_USER_DECISION,v2.41C-uk-cboe-manual-review-decision,Create a financial-institution methodology project or keep excluded with explanation.
GAP-COVERAGE-BELOW-THRESHOLD,Coverage below threshold,Assets below the real factor coverage threshold remain blocked from scoring.,270 rows are BLOCKED; eligibility NOT_ELIGIBLE count is 41978.,270,medium,high,medium,8,KEEP_DOCUMENTED_LIMITATION,v2.41D-final-coverage-limitations,Keep fail-closed until real coverage improves without imputing missing factors.
GAP-EXTERNAL-PUBLICATION-RISK,External publication risk,Safe demo and manual QA must remain mandatory for external publication.,v2.40A-D define safe demo and controlled external publication QA.,product_surface,high,low,medium,2,KEEP_DOCUMENTED_LIMITATION,PROJECT_CLOSE_FINAL_REPORT,Do not share a public URL until safe demo manual QA is complete.
GAP-SECURITY-WARNINGS,Security warnings,Security-sensitive files and secrets checks should remain visible after publication prep.,v2.39C and v2.40B-D keep secrets/publication guardrails in place.,repository_publication_surface,high,low,medium,9,KEEP_DOCUMENTED_LIMITATION,v2.43A-final-consolidated-audit,Re-run security audit before final release; current risk register rows: 14.
GAP-PRODUCT-LEGAL-WORDING,Product/legal wording,"No-advice, no-broker and no-recommendations language must remain visible.",v2.38BZ-v2.40D explicitly lock product/legal guardrails.,all_user_facing_surfaces,high,low,low,10,KEEP_DOCUMENTED_LIMITATION,v2.42B-final-in-app-guide,Final app guide preserves no-advice/no-broker/no-recommendations language.
