asset_id,ticker,action_sequence,required_action,action_description,action_status,network_allowed,scraping_allowed,api_allowed
U37479,N4U,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37479,N4U,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37479,N4U,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37480,IJF,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37480,IJF,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37480,IJF,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37481,BZ4,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37481,BZ4,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37481,BZ4,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37482,JHA1,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37482,JHA1,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37482,JHA1,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37483,LIN,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37483,LIN,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
