policy_id,instrument_or_source_type,decision,reason,planned_detection_fields,notes
include_nse_listed_ordinary_equity,NSE listed ordinary/fully paid equity shares,include_after_validation,"Target universe is listed equity companies/securities, not funds/debt/derivative instruments.","symbol, company/security name, series/instrument type, source_id",Do not add directly in v2.17C; only later after extraction and canonical dry-run validation.
review_sme_equity,NSE SME/Emerge equity,review,May be valid equity but should be classified separately before canonical impact.,"source_id, series, instrument type, SME source file",Can become candidate rows after v2.17D/E validation if evidence is clean.
exclude_bse_exclusive_until_explicit_scope,BSE Exclusive securities inside NSE file route,exclude_or_review,This phase is NSE route selection; BSE-exclusive rows should not silently enter NSE-derived universe.,"source file label, exchange/listing flag, security file columns","Could be a future BSE route, but not silently included here."
exclude_etf,ETF,exclude,"ETF is fund/product exposure, not ordinary company equity.","ETF source file, series, instrument type, name keywords",Use NSE ETF CSV as exclusion evidence.
exclude_reit_invit,REIT / INVIT units,exclude,Trust units are not ordinary operating-company equity shares.,"REIT/INVIT source files, instrument type, name keywords",Use NSE REIT/INVIT CSVs as exclusion evidence.
exclude_mutual_funds,Close-ended mutual fund schemes,exclude,Funds are out of scope.,"MF source file, instrument type, name keywords",Use close-ended MF CSV as exclusion evidence.
exclude_debt,Debt instruments,exclude,Debt/fixed income instruments are out of scope.,"debt source file, instrument type, ISIN prefix/context, name keywords",Debt file may be large and should not drive candidate extraction.
exclude_warrants,Warrants,exclude,Warrants are not ordinary equity shares.,"warrants source file, symbol/name keywords, instrument type",Use warrants CSV as exclusion evidence.
exclude_idr,Indian Depository Receipts,exclude,Depository receipts are not local ordinary equity rows for this route.,"IDR source file, instrument type, name keywords",Explicitly keep separate from equity candidates.
review_preference_shares,Preference shares,exclude_or_manual_review,Preferred/preference shares should not be mixed with ordinary equity.,"preference shares source file, series, instrument type, name keywords",Default exclude unless a future explicit policy permits separate share classes.
reference_symbol_name_changes,Company name/symbol changes,reference_only,Useful for duplicate resolution but not a candidate source.,"changes in company names, changes in symbols",Use later to improve canonical comparison and avoid false negatives.
