sample_plan_id,sample_type,score_bucket,source_provider,population_rows,target_manual_review_rows,selection_rule,purpose
SAMPLE_A_85_100,score_bucket,A_85_100,__ANY__,1282,30,stratified_evenly_across_top_providers_and_missing_metadata_cases,Check whether score bucket ordering matches manual quality judgement.
SAMPLE_B_70_84,score_bucket,B_70_84,__ANY__,8980,40,stratified_evenly_across_top_providers_and_missing_metadata_cases,Check whether score bucket ordering matches manual quality judgement.
SAMPLE_C_55_69,score_bucket,C_55_69,__ANY__,6023,40,stratified_evenly_across_top_providers_and_missing_metadata_cases,Check whether score bucket ordering matches manual quality judgement.
SAMPLE_D_40_54,score_bucket,D_40_54,__ANY__,17213,40,stratified_evenly_across_top_providers_and_missing_metadata_cases,Check whether score bucket ordering matches manual quality judgement.
SAMPLE_E_0_39,score_bucket,E_0_39,__ANY__,0,0,skip_empty_bucket,Bucket has no rows in dry-run output.
SAMPLE_PROVIDER_GAP_01,provider_gap,D_40_54,cboe_europe_reference_data,11790,15,prioritize_rows_with_missing_country_or_asset_type,Validate metadata-sensitive score behavior for high-gap providers.
SAMPLE_PROVIDER_GAP_02,provider_gap,B_70_84,jpx_listed_securities,3704,15,prioritize_rows_with_missing_country_or_asset_type,Validate metadata-sensitive score behavior for high-gap providers.
SAMPLE_PROVIDER_GAP_03,provider_gap,C_55_69,nasdaq_trader_nasdaqlisted,3241,15,prioritize_rows_with_missing_country_or_asset_type,Validate metadata-sensitive score behavior for high-gap providers.
SAMPLE_PROVIDER_GAP_04,provider_gap,B_70_84,hkex_securities_list,2772,15,prioritize_rows_with_missing_country_or_asset_type,Validate metadata-sensitive score behavior for high-gap providers.
SAMPLE_PROVIDER_GAP_05,provider_gap,C_55_69,nasdaq_trader_otherlisted,2371,15,prioritize_rows_with_missing_country_or_asset_type,Validate metadata-sensitive score behavior for high-gap providers.
SAMPLE_PROVIDER_GAP_06,provider_gap,D_40_54,sec_company_tickers_exchange,2217,15,prioritize_rows_with_missing_country_or_asset_type,Validate metadata-sensitive score behavior for high-gap providers.
SAMPLE_PROVIDER_GAP_07,provider_gap,D_40_54,cboe_listed_symbols,1193,15,prioritize_rows_with_missing_country_or_asset_type,Validate metadata-sensitive score behavior for high-gap providers.
SAMPLE_PROVIDER_GAP_08,provider_gap,B_70_84,TWSE,696,15,prioritize_rows_with_missing_country_or_asset_type,Validate metadata-sensitive score behavior for high-gap providers.
SAMPLE_PROVIDER_GAP_09,provider_gap,C_55_69,HKEX,379,15,prioritize_rows_with_missing_country_or_asset_type,Validate metadata-sensitive score behavior for high-gap providers.
SAMPLE_PROVIDER_GAP_10,provider_gap,C_55_69,hkex_securities_list,32,15,prioritize_rows_with_missing_country_or_asset_type,Validate metadata-sensitive score behavior for high-gap providers.
SAMPLE_BOUNDARY_CASES,score_boundary,__MULTI__,__ANY__,33498,50,select_scores_near_55_70_85_thresholds,Validate score threshold behavior around bucket boundaries.
