requirement_id,category,priority,target
"N01","Local-first operation","MUST","Core catalog/watchlist/report workflow works without network"
"N02","Startup performance","MUST","Initial status view usable within 3 seconds on reference machine after warm cache"
"N03","Filter performance","SHOULD","Typical catalog filter response below 1 second after load"
"N04","Memory","SHOULD","Avoid duplicate full-dataframe copies; target below 1 GB for catalog workflow"
"N05","Accessibility","MUST","Keyboard navigation, visible focus, semantic labels, non-color status cues"
"N06","Contrast","MUST","WCAG AA contrast for text and controls"
"N07","Responsive","MUST","Usable at 360px, 768px and desktop widths"
"N08","Data integrity","MUST","SHA/pointer validation before score or maintenance-derived views"
"N09","Atomic user data writes","MUST","Watchlist writes retain backup and never corrupt existing JSON"
"N10","Security","MUST","No credentials, environment values, stack traces or unsafe HTML in UI"
"N11","Determinism","MUST","Stable identity and final tie/order rules"
"N12","Provenance","MUST","Every generated artifact records source and output hashes"
"N13","Testability","MUST","Data adapters and UI state functions independently testable"
"N14","Compatibility","SHOULD","Windows 11 and current Python/Streamlit requirements"
"N15","External assets","SHOULD","Remove Google Fonts dependency or provide system-font fallback for offline use"
