backlog_id,limitation,source_phase,limitation_type,is_blocking,affected_scope,current_handling,proposed_resolution_phase,notes
BL-001,Run real Streamlit/browser screenshots,v2.38CF,ENVIRONMENT_WARNING,false,visual QA,Structural smoke test accepted with warning.,v2.38CH,Needed before final confidence in UI rendering.
BL-002,Keep ranking no-advice wording audited,v2.38BZ/v2.38CF,PRODUCT_POSITIONING,false,all users,Disclaimers present.,v2.38CH,Must survive final audit.
BL-003,Review financial institutions separately,v2.38BV/v2.38BX,METHODOLOGY_GAP,false,124 review-required assets,Excluded from main ranking.,post-v2.38CJ,Requires separate factor contract.
BL-004,Plan adapters for jurisdictions without ratios/growth adapter,v2.38CD,ADAPTER_GAP,false,26 assets,Marked NOT_YET_SCORED_NO_ADAPTER.,post-v2.38CJ,Do not invent scores.
BL-005,Decide Cboe Europe mass identity expansion,v2.38BB/v2.38CD,SCOPE_DECISION,false,European coverage,Deferred by explicit decision.,post-v2.38CJ,Requires user authorization.
BL-006,Preserve manifest-based packaging until final release decision,v2.38CE,PACKAGING,false,local install,No heavy ZIP created.,v2.38CI,Freeze candidate can decide archive policy.
BL-CD-007,Ambiguous European Cboe identities still require manual review before promotion.,v2.38CD,coverage_gap,false,documented scope,Documented as blocking=false or degraded.,post-v2.38CJ,"Keep documented as limitation unless a later phase explicitly authorizes source expansion, adapter work, or manual review closure."
BL-CD-008,Mass Cboe Europe identity expansion remains deferred pending explicit scope decision.,v2.38CD,scope_decision,false,documented scope,Documented as blocking=false or degraded.,post-v2.38CJ,"Keep documented as limitation unless a later phase explicitly authorizes source expansion, adapter work, or manual review closure."
BL-CD-009,UK official source path is documented as blocked for safe automation.,v2.38CD,provider_access,false,documented scope,Documented as blocking=false or degraded.,post-v2.38CJ,"Keep documented as limitation unless a later phase explicitly authorizes source expansion, adapter work, or manual review closure."
BL-CD-010,Some assets remain NOT_YET_SCORED_NO_ADAPTER and are excluded from scored ranking populations.,v2.38CD,adapter_gap,false,26,Documented as blocking=false or degraded.,post-v2.38CJ,"Keep documented as limitation unless a later phase explicitly authorizes source expansion, adapter work, or manual review closure."
BL-CD-011,Assets with insufficient real factor coverage remain BLOCKED and visible as limitations.,v2.38CD,coverage_gap,false,270,Documented as blocking=false or degraded.,post-v2.38CJ,"Keep documented as limitation unless a later phase explicitly authorizes source expansion, adapter work, or manual review closure."
