theme_id,theme_name,region,country,sector_hint,opportunity_score,risk_score,confidence_level,context_summary,data_mode,asof_date,source_policy,phase
INTEREST_RATES,Interest rates,GLOBAL,US,ALL,45,70,MEDIUM,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
INFLATION,Inflation,GLOBAL,US,ALL,50,62,MEDIUM,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
USD_STRENGTH,US dollar strength,GLOBAL,US,ALL,48,55,LOW,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
AI_SEMICONDUCTORS,AI and semiconductors,GLOBAL,US,technology semiconductors infrastructure,78,58,MEDIUM,"AI infrastructure demand can be a tailwind for chips, compute, data infrastructure and related suppliers.",STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
DEFENSE_SECURITY,Defense and security,GLOBAL,US,defense aerospace security,72,45,MEDIUM,"Security spending can support selected defense, aerospace and dual-use technology suppliers.",STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
ENERGY_TRANSITION,Energy transition,GLOBAL,US,renewables grid storage electrification,66,62,MEDIUM,Electrification and grid investment can help some energy-transition suppliers but policy support is uneven.,STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
OIL_GAS_SUPPLY,Oil and gas supply,GLOBAL,US,oil gas energy services,58,68,MEDIUM,"Energy supply volatility can affect producers, services and input-sensitive industries.",STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
CHINA_US_TENSIONS,China-US tensions,GLOBAL,US,china supply chain semiconductors manufacturing,52,76,MEDIUM,Trade and technology restrictions can reshape supply chains and add geopolitical execution risk.,STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
SUPPLY_CHAIN_RESILIENCE,Supply-chain resilience,GLOBAL,US,logistics manufacturing industrial,64,50,MEDIUM,Reshoring and supplier diversification can support selected industrial and logistics businesses.,STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
CYBERSECURITY,Cybersecurity,GLOBAL,US,software cyber security,73,42,MEDIUM,Security demand remains structurally relevant as digital infrastructure expands.,STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
HEALTHCARE_REGULATION,Healthcare regulation,GLOBAL,US,healthcare biotech pharma medical,55,72,MEDIUM,"Healthcare and biotech names face policy, reimbursement and trial/regulatory uncertainty.",STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
BANK_CREDIT_CYCLE,Bank credit cycle,GLOBAL,US,banks financial credit,44,74,MEDIUM,Credit quality and funding costs can materially affect banks and lenders.,STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
SMALL_CAP_LIQUIDITY,Small-cap liquidity,GLOBAL,US,ALL,54,70,MEDIUM,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
INDUSTRIAL_RESHORING,Industrial reshoring,GLOBAL,US,industrial manufacturing automation,68,48,MEDIUM,Domestic manufacturing investment can benefit selected industrial suppliers.,STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
EUROPE_REGULATORY_DRAG,Europe regulatory drag,EUROPE,,europe regulation,35,66,LOW,"European regulatory exposure can add compliance cost, but v2.38M does not classify US issuers into this theme unless evidence exists.",STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
CLIMATE_POLICY,Climate policy,GLOBAL,US,energy climate industrial,57,65,LOW,Climate policy can create both transition demand and compliance risk depending on business model.,STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
COMMODITY_INPUT_COSTS,Commodity input costs,GLOBAL,US,materials industrial consumer,42,69,MEDIUM,Commodity cost volatility can pressure margin for input-intensive businesses.,STATIC_TAXONOMY,2026-09-03,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
