shortlist_rank,research_rank,asset_id,ticker,company_name,exchange,cik,experimental_score,score_bucket_38k,shortlist_bucket,candidate_matrix_status,evidence_level,inclusion_reason,positive_drivers,risk_drivers,evidence_summary,research_explanation,next_research_steps,recommendation_generated,financial_advice,broker_actions_allowed,phase9c_authorized,phase
1,1,U00597,CGEN,Compugen Ltd. - Ordinary Shares,NASDAQ,0001119774,87.3314,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 1 with experimental score 87.3314.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,large 12m drawdown; high 6m volatility,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 1 and experimental score 87.3314. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: large 12m drawdown; high 6m volatility. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
2,2,U00489,BWFG,"Bankwell Financial Group, Inc. - Common Stock",NASDAQ,0001505732,86.9175,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 2 with experimental score 86.9175.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 2 and experimental score 86.9175. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: balance-sheet risk flag. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
3,3,U00040,ACNB,ACNB Corporation - Common Stock,NASDAQ,0000715579,84.0633,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 3 with experimental score 84.0633.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 3 and experimental score 84.0633. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: balance-sheet risk flag. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
4,4,U00126,ALAB,"Astera Labs, Inc. - Common Stock",NASDAQ,0001736297,83.8049,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 4 with experimental score 83.8049.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 4 and experimental score 83.8049. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: large 12m drawdown; high 6m volatility; risk/liquidity component below 55. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
5,5,U00276,ATEX,Anterix Inc. - Common Stock,NASDAQ,0001304492,83.3366,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 5 with experimental score 83.3366.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,high 6m volatility,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 5 and experimental score 83.3366. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: high 6m volatility. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
6,6,U00503,CAC,Camden National Corporation - Common Stock,NASDAQ,0000750686,80.9777,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 6 with experimental score 80.9777.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 6 and experimental score 80.9777. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: balance-sheet risk flag. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
7,7,U00025,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,0001070494,80.9259,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 7 with experimental score 80.9259.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 7 and experimental score 80.9259. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
8,8,U00482,BUSE,First Busey Corporation - Common Stock,NASDAQ,0000314489,80.5503,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 8 with experimental score 80.5503.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,balance-sheet risk flag,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 8 and experimental score 80.5503. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: balance-sheet risk flag. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
9,9,U00522,CART,Maplebear Inc. - Common Stock,NASDAQ,0001579091,78.7464,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 9 with experimental score 78.7464.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 9 and experimental score 78.7464. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
10,10,U00425,BMRN,BioMarin Pharmaceutical Inc. - Common Stock,NASDAQ,0001048477,78.0671,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 10 with experimental score 78.0671.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 10 and experimental score 78.0671. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
